species,corolla_tube_length,total_large_anther_length,PC1_corolla,PC2_corolla,PC1_anther,PC2_anther
Brachyloma_scortechinii,1.098612289,,-0.038212206,0.064227848,,
Brachyloma_stenolobum,0.336472237,-0.287682072,0.010509249,-0.024183803,,
Bryanthus_gmelinii,,,,,0.084508787,0.041192582
Calluna_vulgaris,0.262364264,0,,,-0.108707075,0.013090426
Cassiope_abbreviata,1.791759469,,,,,
Cassiope_fastigiata,2.014903021,-0.030459207,,,0.26089832,-0.000698403
Cassiope_lycopodioides,1.945910149,,0.11969123,-0.051413493,0.253395508,0.018341688
Cassiope_membranifolia,,,0.124778406,-0.144121603,0.336153212,0.00673704
Cassiope_mertensiana,1.871802177,,0.149270333,-0.075446414,0.230182951,0.013646891
Cassiope_myosuroides,1.871802177,,0.129885103,-0.057779716,,
Cassiope_nana,1.791759469,,,,,
Cassiope_palpebrata,1.871802177,,,,,
Cassiope_pectinata,1.871802177,,0.092462563,-0.110077254,0.340304662,0.0045811
Cassiope_selaginoides,2.014903021,-0.223143551,0.073284915,-0.084828813,0.322664647,0.010880661
Cassiope_tetragona,1.945910149,,0.133427433,-0.145544739,0.23975661,0.012770278
Cassiope_wardii,1.945910149,,,,0.326706908,0.061993043
Cavendishia_aberrans,3.772760938,3.526360525,-0.189869993,0.011942121,,
Cavendishia_adenophora,3.091042453,2.862200881,-0.152909581,0.020592029,,
Cavendishia_albopicata,,,-0.208346214,0.014057322,,
Cavendishia_allenii,2.621038824,2.327277706,-0.202767783,-0.023383815,,
Cavendishia_angustifolia,2.564949357,2.302585093,,,,
Cavendishia_antioquiensis,3.526360525,3.295836866,-0.212310604,0.011629877,,
Cavendishia_arizonensis,3.737669618,3.526360525,,,,
Cavendishia_atroviolacea,3.481240089,,-0.225892166,-0.010123996,,
Cavendishia_aurantiaca,2.740840024,2.442347035,-0.110832271,0.014983849,,
Cavendishia_awa,,,-0.054435649,0.084533441,-0.279289317,-0.014906551
Cavendishia_axillaris,2.1102132,1.749199855,-0.012415615,0.06303676,-0.256643598,-0.039634572
Cavendishia_barnebyi,2.351375257,1.16315081,-0.031349033,0.086937852,,
Cavendishia_bomareoides,3.258096538,3.124565145,,,,
Cavendishia_bracteata,2.944438979,2.583997552,-0.117647152,0.054824635,,
Cavendishia_callista,3.349904087,3.068052935,-0.220264603,-0.006632748,,
Cavendishia_calycina,3.17805383,2.740840024,,,,
Cavendishia_capitulata,2.564949357,2.302585093,-0.212864617,0.008559919,-0.308801063,-0.021310686
Cavendishia_chiriquiensis,2.995732274,2.803360381,,,,
